ID,Model Name,Category,Domain,Query Type,Latency (ms),Response Accuracy (%),Performance Time (s),Memory Usage (MB),Concurrent Queries,Optimization Technique,Notes
666,WallerLLCBot,Domain-Specific,E-commerce,Complex Query,826,84.3,4.3,783,10,Baseline,Improved adaptive response
667,FrazierDiazandCruzBot,Rule-Based,Retail,Complex Query,977,92.83,4.76,1324,32,Model Pruning,Reduced memory footprint
668,Nguyen-MercadoBot,Domain-Specific,E-commerce,Complex Query,235,91.41,3.3,1653,33,Neural Architecture Search,Faster architecture
669,JohnsonChapmanandRossBot,Open-Source,Finance,Multi-turn Query,748,93.15,3.08,1088,31,Baseline,Faster architecture
670,Baldwin-MartinBot,Open-Source,Retail,Complex Query,574,88.63,3.62,1123,11,Baseline,Faster architecture
671,WoodsIncBot,Open-Source,Finance,Simple Query,689,94.15,1.55,1646,21,Model Pruning,Faster architecture
672,Butler-BensonBot,Domain-Specific,Finance,Simple Query,213,79.86,1.12,1922,17,Baseline,No optimization applied
673,DelgadoBurtonandHoodBot,Domain-Specific,Retail,Multi-turn Query,967,78.31,2.03,604,11,Baseline,Reduced memory footprint
674,Baldwin-LaraBot,Rule-Based,Healthcare,Simple Query,910,94.07,3.76,672,11,Reinforcement Learning,No optimization applied
675,Johnson-NorrisBot,Custom,Finance,Complex Query,935,82.17,2.15,2027,25,Baseline,Improved adaptive response
676,CarterLtdBot,Rule-Based,Education,Simple Query,821,78.97,4.04,958,35,Model Pruning,Improved adaptive response
677,Turner-GreenBot,Custom,E-commerce,Simple Query,673,79.41,3.56,890,20,Reinforcement Learning,No optimization applied
678,Welch-GuerreroBot,Rule-Based,Education,Complex Query,445,82.16,3.08,916,24,Neural Architecture Search,No optimization applied
679,NelsonPLCBot,Open-Source,Finance,Simple Query,422,82.64,1.12,1499,31,Model Pruning,No optimization applied
680,HaleyIncBot,Rule-Based,Finance,Complex Query,996,79.62,2.12,296,7,Model Pruning,Improved adaptive response
681,Lewis-CalderonBot,Open-Source,Education,Multi-turn Query,666,76.28,0.87,768,29,Baseline,Improved adaptive response
682,FosterMullenandJohnsonBot,Hybrid,E-commerce,Multi-turn Query,695,75.3,1.39,2016,44,Baseline,Improved adaptive response
683,SummersGroupBot,Rule-Based,E-commerce,Multi-turn Query,662,83.58,1.45,1900,26,Neural Architecture Search,Faster architecture
684,Hunt-GarzaBot,Open-Source,Healthcare,Multi-turn Query,926,87.34,2.39,1608,44,Reinforcement Learning,Faster architecture
685,SnyderWarrenandBrownBot,Rule-Based,E-commerce,Multi-turn Query,361,89.37,1.89,659,5,Neural Architecture Search,Improved adaptive response
686,MurphyHarringtonandFerrellBot,Hybrid,Finance,Multi-turn Query,908,78.01,3.7,879,46,Neural Architecture Search,Faster architecture
687,GardnerCarrollandJonesBot,Hybrid,Finance,Complex Query,494,92.89,1.15,1550,39,Neural Architecture Search,No optimization applied
688,JonesWalkerandWhiteBot,Hybrid,Finance,Simple Query,722,87.12,0.89,920,18,Reinforcement Learning,Reduced memory footprint
689,Vazquez-MorenoBot,Rule-Based,Healthcare,Complex Query,985,91.25,2.89,379,18,Baseline,No optimization applied
690,JohnstonDaltonandRileyBot,Hybrid,Retail,Complex Query,806,80.96,3.23,1863,47,Model Pruning,Improved adaptive response
691,RichmondLLCBot,Open-Source,Education,Complex Query,262,86.12,3.08,821,3,Neural Architecture Search,Improved adaptive response
692,Snyder-WilliamsonBot,Custom,E-commerce,Multi-turn Query,781,84.73,3.81,1527,3,Model Pruning,Reduced memory footprint
693,MccoyAndrewsandHicksBot,Domain-Specific,Healthcare,Simple Query,150,82.17,1.55,1377,32,Reinforcement Learning,No optimization applied
694,BishopBarnesandSmithBot,Open-Source,Healthcare,Simple Query,709,89.03,2.53,306,47,Baseline,No optimization applied
695,WagnerWilliamsandJohnsonBot,Domain-Specific,E-commerce,Multi-turn Query,543,88.58,1.17,1345,2,Neural Architecture Search,Improved adaptive response
696,Snyder-WilliamsonBot,Domain-Specific,Retail,Multi-turn Query,152,83.59,3.63,1269,44,Model Pruning,Reduced memory footprint
697,Mcconnell-FloresBot,Domain-Specific,Finance,Simple Query,756,93.12,0.63,1936,16,Reinforcement Learning,Reduced memory footprint
698,Johnson-NorrisBot,Open-Source,Education,Simple Query,740,88.66,2.2,1537,33,Baseline,Faster architecture
699,Durham-StanleyBot,Domain-Specific,Finance,Complex Query,219,91.18,1.34,1100,27,Reinforcement Learning,No optimization applied
700,AguilarLLCBot,Custom,E-commerce,Multi-turn Query,584,85.54,1.13,1635,19,Reinforcement Learning,Faster architecture
701,LawrenceWilliamsandLeeBot,Hybrid,Healthcare,Simple Query,858,88.44,4.25,830,1,Baseline,No optimization applied
702,RichmondLLCBot,Hybrid,Finance,Simple Query,859,90.41,0.82,350,19,Baseline,Faster architecture
703,JohnsonFrazierandHillBot,Rule-Based,Healthcare,Multi-turn Query,515,89.13,1.03,1963,33,Neural Architecture Search,Faster architecture
704,Baldwin-MartinBot,Rule-Based,Retail,Multi-turn Query,345,77.43,2.36,1162,17,Neural Architecture Search,Reduced memory footprint
705,CarterLtdBot,Hybrid,E-commerce,Simple Query,212,90.03,1.4,473,45,Baseline,Improved adaptive response
706,Nguyen-MercadoBot,Hybrid,Education,Multi-turn Query,589,88.13,1.2,1170,3,Baseline,Faster architecture
707,Ramos-SanchezBot,Rule-Based,Healthcare,Complex Query,336,88.11,2.8,661,43,Reinforcement Learning,Faster architecture
708,Paul-MclaughlinBot,Open-Source,Finance,Multi-turn Query,100,83.69,3.44,317,2,Baseline,Reduced memory footprint
709,HaleyIncBot,Custom,E-commerce,Complex Query,141,88.04,2.72,712,13,Neural Architecture Search,Faster architecture
710,Nguyen-MercadoBot,Hybrid,E-commerce,Simple Query,293,86.26,3.8,1126,12,Reinforcement Learning,Reduced memory footprint
711,KleinIncBot,Domain-Specific,Healthcare,Simple Query,874,92.67,2.2,425,8,Model Pruning,Faster architecture
712,CamachoIncBot,Open-Source,E-commerce,Multi-turn Query,855,92.26,4.72,1248,4,Model Pruning,Faster architecture
713,RhodesRandolphandRodriguezBot,Open-Source,Finance,Complex Query,391,80.64,1.62,1868,44,Neural Architecture Search,No optimization applied
714,CombsJonesandRamseyBot,Rule-Based,Education,Complex Query,918,91.79,4,1781,48,Reinforcement Learning,Faster architecture
715,Baldwin-MartinBot,Hybrid,E-commerce,Complex Query,491,85.46,1.59,394,12,Model Pruning,Faster architecture
716,HolmesMiddletonandTateBot,Rule-Based,E-commerce,Complex Query,331,83.61,2.73,1094,35,Model Pruning,Improved adaptive response
717,Nguyen-MercadoBot,Custom,Retail,Multi-turn Query,720,77.59,2.54,1661,7,Neural Architecture Search,Improved adaptive response
718,DelgadoBurtonandHoodBot,Custom,E-commerce,Simple Query,968,84.21,4.58,609,10,Neural Architecture Search,Reduced memory footprint
719,RhodesRandolphandRodriguezBot,Hybrid,Finance,Complex Query,572,90.9,3.81,2026,36,Model Pruning,No optimization applied
720,WagnerWilliamsandJohnsonBot,Open-Source,E-commerce,Complex Query,735,91.83,3.53,1862,44,Baseline,Reduced memory footprint
721,Hunt-GarzaBot,Rule-Based,Retail,Simple Query,396,92.65,1.95,1060,49,Baseline,Improved adaptive response
722,Johnson-NorrisBot,Domain-Specific,Healthcare,Multi-turn Query,879,81.42,1.71,301,34,Reinforcement Learning,No optimization applied
723,NicholsPLCBot,Custom,Retail,Multi-turn Query,862,85.15,4.49,273,18,Neural Architecture Search,Improved adaptive response
724,SummersGroupBot,Domain-Specific,Retail,Simple Query,418,81.1,1.35,1789,17,Neural Architecture Search,Faster architecture
725,FosterMullenandJohnsonBot,Domain-Specific,Finance,Simple Query,338,82.16,3.52,1781,7,Baseline,Improved adaptive response
726,Ramos-SanchezBot,Open-Source,Finance,Complex Query,813,77.27,1.03,978,15,Reinforcement Learning,Improved adaptive response
727,Vazquez-MorenoBot,Hybrid,Education,Complex Query,920,79.77,4.02,1254,35,Baseline,Improved adaptive response
728,Miller-RamirezBot,Rule-Based,Education,Simple Query,341,82.21,2.25,575,40,Model Pruning,Improved adaptive response
729,SmithPLCBot,Hybrid,E-commerce,Multi-turn Query,298,94.99,3.01,1040,44,Reinforcement Learning,Faster architecture
730,JohnstonDaltonandRileyBot,Custom,Finance,Multi-turn Query,104,77.42,1.36,1625,38,Neural Architecture Search,No optimization applied
731,Paul-MclaughlinBot,Custom,Healthcare,Complex Query,811,91.49,3.49,1979,3,Neural Architecture Search,Reduced memory footprint
732,CarterLtdBot,Open-Source,Healthcare,Complex Query,674,94.94,3.77,1106,3,Baseline,Reduced memory footprint
733,RhodesRandolphandRodriguezBot,Custom,Healthcare,Multi-turn Query,860,78.25,4.93,408,37,Reinforcement Learning,Improved adaptive response
734,Taylor-SimsBot,Hybrid,Retail,Complex Query,171,87.23,2.45,581,11,Baseline,Faster architecture
735,RhodesRandolphandRodriguezBot,Rule-Based,Healthcare,Complex Query,128,90.47,4.7,1356,37,Model Pruning,Faster architecture
736,HolmesMiddletonandTateBot,Hybrid,Education,Simple Query,871,75.6,4.52,1549,20,Model Pruning,Faster architecture
737,RichmondLLCBot,Hybrid,Education,Complex Query,662,90.74,1.57,906,13,Baseline,Faster architecture
738,Ochoa-ChanBot,Hybrid,E-commerce,Simple Query,184,83.36,3.71,1509,24,Neural Architecture Search,No optimization applied
739,PerezPLCBot,Hybrid,Retail,Simple Query,132,80.08,4.04,933,9,Neural Architecture Search,Improved adaptive response
740,BrownMillerandNguyenBot,Open-Source,E-commerce,Simple Query,420,86.41,1.24,364,19,Baseline,Reduced memory footprint
741,CamachoIncBot,Open-Source,Education,Complex Query,865,80.24,1.77,479,11,Neural Architecture Search,No optimization applied
742,SmithPLCBot,Hybrid,Education,Complex Query,709,87.72,2.67,540,38,Model Pruning,No optimization applied
743,WagnerWilliamsandJohnsonBot,Domain-Specific,Retail,Complex Query,470,84.94,3.3,857,35,Neural Architecture Search,Reduced memory footprint
744,JonesIncBot,Domain-Specific,E-commerce,Complex Query,717,79.64,1.1,375,14,Reinforcement Learning,Reduced memory footprint
745,PerezPLCBot,Rule-Based,E-commerce,Complex Query,546,79.41,1.81,856,40,Reinforcement Learning,Faster architecture
746,Welch-GuerreroBot,Open-Source,Education,Complex Query,839,76.2,2.26,1549,21,Baseline,Faster architecture
747,RichmondLLCBot,Open-Source,Finance,Simple Query,321,81.55,4.72,1945,22,Model Pruning,Faster architecture
748,Turner-GreenBot,Domain-Specific,E-commerce,Simple Query,473,82.6,2.9,1347,35,Model Pruning,Reduced memory footprint
749,Cochran-HarrisBot,Open-Source,Education,Complex Query,229,94.4,0.56,1699,22,Baseline,Reduced memory footprint
750,HayesRoachandCarrollBot,Rule-Based,Education,Complex Query,550,79.1,4.46,1704,6,Model Pruning,No optimization applied
751,Snyder-WilliamsonBot,Hybrid,E-commerce,Complex Query,176,93.99,2.25,1402,14,Baseline,No optimization applied
752,WagnerWilliamsandJohnsonBot,Custom,Education,Simple Query,229,90,2.88,1712,7,Neural Architecture Search,Improved adaptive response
753,Hall-MolinaBot,Custom,Healthcare,Multi-turn Query,848,79.43,1.43,755,50,Reinforcement Learning,Faster architecture
754,Hunt-GarzaBot,Domain-Specific,Retail,Multi-turn Query,291,92.06,1.07,709,38,Reinforcement Learning,Reduced memory footprint
755,CamachoIncBot,Hybrid,E-commerce,Multi-turn Query,694,81.38,3.08,701,35,Reinforcement Learning,No optimization applied
756,EspinozaGroupBot,Hybrid,Healthcare,Simple Query,178,80.89,1.33,406,21,Model Pruning,No optimization applied
757,CamachoIncBot,Domain-Specific,Healthcare,Multi-turn Query,398,87.38,2.45,645,46,Neural Architecture Search,Improved adaptive response
758,PerezPLCBot,Open-Source,E-commerce,Complex Query,412,94.76,3.62,891,16,Reinforcement Learning,Improved adaptive response
759,GravesPLCBot,Open-Source,Healthcare,Multi-turn Query,154,78.77,1.44,1954,10,Neural Architecture Search,Faster architecture
760,KnightMcdowellandMarksBot,Open-Source,Healthcare,Multi-turn Query,101,88.2,4.71,631,19,Reinforcement Learning,No optimization applied
761,GardnerCarrollandJonesBot,Open-Source,Finance,Simple Query,144,80.34,0.67,1552,21,Neural Architecture Search,Reduced memory footprint
762,Durham-StanleyBot,Hybrid,Finance,Multi-turn Query,727,92.89,4.1,491,13,Model Pruning,Improved adaptive response
763,Santos-RodgersBot,Open-Source,E-commerce,Multi-turn Query,691,91.86,1.12,1935,44,Baseline,Reduced memory footprint
764,RowlandMartinandGarciaBot,Rule-Based,Retail,Simple Query,439,80.71,3.46,1644,12,Neural Architecture Search,No optimization applied
765,KiddLtdBot,Domain-Specific,Healthcare,Multi-turn Query,580,88.88,4.95,724,9,Reinforcement Learning,No optimization applied
766,SummersGroupBot,Domain-Specific,Healthcare,Multi-turn Query,933,86.55,0.97,1807,4,Neural Architecture Search,Improved adaptive response
767,CarterLtdBot,Rule-Based,Education,Multi-turn Query,470,90.01,3.94,1433,4,Reinforcement Learning,Faster architecture
768,Fernandez-ButlerBot,Open-Source,E-commerce,Complex Query,167,76.57,0.54,1388,17,Neural Architecture Search,Improved adaptive response
769,AguilarLLCBot,Hybrid,Healthcare,Simple Query,718,91.54,1.06,316,41,Neural Architecture Search,No optimization applied
770,WoodsIncBot,Hybrid,Finance,Complex Query,479,79.75,2.84,1336,7,Reinforcement Learning,Faster architecture
771,CarterLtdBot,Hybrid,Education,Complex Query,836,89.49,3.95,1713,38,Baseline,Faster architecture
772,AndersonPLCBot,Custom,E-commerce,Simple Query,779,79.06,2.59,742,21,Model Pruning,Faster architecture
773,SummersGroupBot,Domain-Specific,Healthcare,Simple Query,686,93.9,3.98,598,34,Baseline,Reduced memory footprint
774,Vazquez-MorenoBot,Rule-Based,Education,Multi-turn Query,519,89.73,3.48,777,4,Baseline,Faster architecture
775,DixonPLCBot,Rule-Based,E-commerce,Complex Query,382,79.96,2.34,718,13,Reinforcement Learning,No optimization applied
776,SmithPLCBot,Open-Source,Education,Complex Query,163,83.16,2.73,1016,18,Baseline,Faster architecture
777,Russell-SharpBot,Open-Source,Education,Complex Query,584,88.62,0.57,1593,20,Neural Architecture Search,Reduced memory footprint
778,Baldwin-MartinBot,Rule-Based,Retail,Simple Query,229,89.04,1.58,465,20,Reinforcement Learning,Reduced memory footprint
779,Santos-RodgersBot,Domain-Specific,E-commerce,Simple Query,942,91.94,4.53,1504,38,Model Pruning,Reduced memory footprint
780,Johnson-NorrisBot,Hybrid,Education,Multi-turn Query,454,75.65,2.1,1574,39,Model Pruning,Improved adaptive response
781,Nielsen-DiazBot,Custom,Healthcare,Multi-turn Query,340,89.81,3.9,1855,36,Neural Architecture Search,Reduced memory footprint
782,Wyatt-WrightBot,Rule-Based,E-commerce,Simple Query,932,81.85,1.59,1191,7,Neural Architecture Search,Reduced memory footprint
783,Miller-RamirezBot,Open-Source,Education,Multi-turn Query,295,87.63,3.2,1248,37,Reinforcement Learning,Improved adaptive response
784,McdanielLLCBot,Hybrid,E-commerce,Simple Query,257,86.24,1.26,896,17,Reinforcement Learning,Reduced memory footprint
785,Snyder-WilliamsonBot,Hybrid,Finance,Simple Query,709,76.3,4.94,1111,7,Reinforcement Learning,Faster architecture
786,CombsJonesandRamseyBot,Domain-Specific,Finance,Complex Query,108,76.76,2.09,1508,4,Neural Architecture Search,Faster architecture
787,Hall-MolinaBot,Hybrid,Healthcare,Complex Query,657,87.88,2.12,343,39,Reinforcement Learning,Faster architecture
788,SmithPLCBot,Rule-Based,Finance,Complex Query,357,80.15,3.1,1393,47,Neural Architecture Search,Improved adaptive response
789,Russell-SharpBot,Rule-Based,E-commerce,Multi-turn Query,962,92.6,2.5,1756,17,Neural Architecture Search,Faster architecture
790,FrazierDiazandCruzBot,Rule-Based,Education,Complex Query,584,77.51,3.47,408,37,Model Pruning,Faster architecture
791,Taylor-SimsBot,Custom,Finance,Multi-turn Query,771,84.08,3.63,375,48,Model Pruning,No optimization applied
792,Hall-MolinaBot,Domain-Specific,Education,Complex Query,528,89.29,4.95,1283,2,Baseline,No optimization applied
793,Mclaughlin-HughesBot,Domain-Specific,Education,Simple Query,192,94.55,1.19,796,31,Baseline,Reduced memory footprint
794,NelsonPLCBot,Custom,E-commerce,Multi-turn Query,420,76.54,2.7,1705,1,Model Pruning,Faster architecture
795,FrazierDiazandCruzBot,Domain-Specific,Healthcare,Multi-turn Query,821,81.91,1.19,327,46,Baseline,Reduced memory footprint
796,WoodsIncBot,Open-Source,Healthcare,Simple Query,911,80.14,4.76,324,2,Reinforcement Learning,Improved adaptive response
797,MorrowandSonsBot,Rule-Based,E-commerce,Multi-turn Query,540,76.53,2.33,1145,25,Reinforcement Learning,Improved adaptive response
798,NealMitchellandCoxBot,Open-Source,E-commerce,Complex Query,333,82.99,1.97,1926,9,Reinforcement Learning,No optimization applied
799,Baldwin-LaraBot,Domain-Specific,Finance,Simple Query,944,89.28,4.41,629,23,Reinforcement Learning,No optimization applied
800,Hanson-BrooksBot,Open-Source,Retail,Complex Query,719,89.59,4.96,438,17,Baseline,Improved adaptive response
801,Mcconnell-FloresBot,Open-Source,E-commerce,Complex Query,625,80.65,0.64,1800,43,Baseline,Reduced memory footprint
802,WagnerWilliamsandJohnsonBot,Domain-Specific,Finance,Multi-turn Query,705,89.24,1.99,1801,35,Model Pruning,Reduced memory footprint
803,Baldwin-LaraBot,Custom,Healthcare,Multi-turn Query,267,86.9,4.16,387,42,Reinforcement Learning,Faster architecture
804,Hanson-BrooksBot,Open-Source,Healthcare,Complex Query,559,92.42,4.47,1642,44,Reinforcement Learning,No optimization applied
805,KleinIncBot,Open-Source,Healthcare,Complex Query,182,86.66,2.71,1855,22,Neural Architecture Search,Reduced memory footprint
806,Mclaughlin-HughesBot,Hybrid,Finance,Multi-turn Query,345,92.04,2.45,810,10,Baseline,Improved adaptive response
807,HaleyIncBot,Rule-Based,Retail,Multi-turn Query,470,77.77,2.82,2017,8,Baseline,Faster architecture
808,JohnsonFrazierandHillBot,Custom,Retail,Multi-turn Query,396,76.58,3.15,1093,27,Baseline,Improved adaptive response
809,Bowman-BernardBot,Rule-Based,Education,Simple Query,974,75.59,0.79,789,49,Neural Architecture Search,No optimization applied
810,GriffithGreenandCruzBot,Rule-Based,Finance,Simple Query,287,82.35,4.98,962,15,Model Pruning,Reduced memory footprint
811,AguilarLLCBot,Open-Source,Finance,Complex Query,550,86.92,1.83,1945,28,Neural Architecture Search,Improved adaptive response
812,HolmesMiddletonandTateBot,Rule-Based,Retail,Simple Query,601,80.88,4.06,1137,22,Model Pruning,No optimization applied
813,Randolph-JohnsonBot,Domain-Specific,E-commerce,Multi-turn Query,538,84.17,2.64,1738,7,Reinforcement Learning,Improved adaptive response
814,Nguyen-MercadoBot,Hybrid,Education,Multi-turn Query,340,88.17,0.8,594,46,Baseline,Reduced memory footprint
815,CoxGroupBot,Rule-Based,Retail,Complex Query,141,88.53,0.85,785,31,Reinforcement Learning,Faster architecture
816,CollinsThompsonandBrownBot,Hybrid,E-commerce,Complex Query,921,94.66,2.71,1698,42,Reinforcement Learning,Faster architecture
817,Mcconnell-FloresBot,Custom,Retail,Simple Query,614,84.46,0.51,852,9,Neural Architecture Search,Faster architecture
818,ButlerBrownandFernandezBot,Hybrid,E-commerce,Simple Query,137,88.7,4.32,1723,46,Baseline,Faster architecture
819,Snyder-WilliamsonBot,Rule-Based,Finance,Complex Query,157,77.07,1.7,1894,10,Reinforcement Learning,Reduced memory footprint
820,Johnson-NorrisBot,Rule-Based,Retail,Complex Query,311,87.89,4.6,447,40,Baseline,Improved adaptive response
821,Hart-JosephBot,Hybrid,Healthcare,Complex Query,909,83.43,2.69,418,10,Reinforcement Learning,Reduced memory footprint
822,Wyatt-WrightBot,Rule-Based,Education,Simple Query,103,83.75,0.7,524,47,Baseline,No optimization applied
823,DixonPLCBot,Hybrid,Healthcare,Multi-turn Query,165,77.21,0.6,756,27,Reinforcement Learning,No optimization applied
824,Mcconnell-FloresBot,Domain-Specific,Education,Multi-turn Query,519,85.97,4.47,928,2,Neural Architecture Search,Improved adaptive response
825,Snyder-WilliamsonBot,Domain-Specific,Healthcare,Complex Query,639,93.45,4.53,997,16,Neural Architecture Search,No optimization applied
826,Hall-MolinaBot,Hybrid,Retail,Complex Query,319,84.48,3.54,1425,8,Baseline,Faster architecture
827,Carson-BurkeBot,Open-Source,E-commerce,Multi-turn Query,703,76.47,0.88,875,4,Reinforcement Learning,Reduced memory footprint
828,Baldwin-LaraBot,Domain-Specific,Education,Multi-turn Query,770,86.74,2.02,1360,7,Neural Architecture Search,Faster architecture
829,Turner-GreenBot,Hybrid,Healthcare,Complex Query,783,80.67,3.84,709,3,Model Pruning,Faster architecture
830,Butler-BensonBot,Hybrid,Retail,Complex Query,244,80.75,1.01,1837,1,Baseline,Improved adaptive response
831,Vazquez-MorenoBot,Domain-Specific,Finance,Simple Query,501,78.84,2.67,1113,6,Baseline,No optimization applied
832,CarterLtdBot,Rule-Based,Healthcare,Multi-turn Query,609,83.86,1.3,1429,15,Model Pruning,Faster architecture
833,JohnsonChapmanandRossBot,Rule-Based,Education,Complex Query,446,81.13,4.9,1238,17,Reinforcement Learning,No optimization applied
834,Ochoa-ChanBot,Rule-Based,Healthcare,Simple Query,243,89.75,3.42,1362,50,Baseline,No optimization applied
835,KleinIncBot,Hybrid,Healthcare,Complex Query,799,78.91,4.49,1283,40,Baseline,Faster architecture
836,Baldwin-LaraBot,Hybrid,E-commerce,Multi-turn Query,124,93.21,1.14,1778,21,Model Pruning,Improved adaptive response
837,RichmondLLCBot,Open-Source,Education,Multi-turn Query,523,92.79,2.37,1480,12,Neural Architecture Search,No optimization applied
838,Lewis-CalderonBot,Custom,Finance,Simple Query,340,91.57,1.44,1029,13,Baseline,Improved adaptive response
839,GriffithGreenandCruzBot,Custom,Finance,Multi-turn Query,825,83.83,4.62,1680,36,Reinforcement Learning,Reduced memory footprint
840,Baldwin-MartinBot,Open-Source,Healthcare,Multi-turn Query,752,78.85,4.65,955,17,Neural Architecture Search,Reduced memory footprint
841,CamachoIncBot,Open-Source,E-commerce,Complex Query,729,86.36,4.35,2025,19,Baseline,Reduced memory footprint
842,Mcconnell-FloresBot,Custom,Education,Multi-turn Query,130,77.75,2.5,489,32,Reinforcement Learning,Faster architecture
843,Hanson-BrooksBot,Rule-Based,E-commerce,Multi-turn Query,788,86.49,0.71,1748,45,Baseline,Improved adaptive response
844,Baldwin-MartinBot,Custom,Finance,Complex Query,530,86.92,2.62,2045,44,Baseline,Faster architecture
845,JohnstonDaltonandRileyBot,Custom,Education,Simple Query,536,88.69,4.96,650,16,Baseline,No optimization applied
846,RhodesRandolphandRodriguezBot,Hybrid,Finance,Multi-turn Query,600,84.46,0.72,2009,7,Neural Architecture Search,Faster architecture
847,CollinsThompsonandBrownBot,Open-Source,E-commerce,Complex Query,412,83.34,0.76,1589,45,Baseline,Reduced memory footprint
848,Ramos-SanchezBot,Hybrid,Retail,Simple Query,749,92.19,1.09,1460,13,Baseline,Improved adaptive response
849,Snyder-WilliamsonBot,Open-Source,Healthcare,Complex Query,911,86.46,2.74,1561,29,Model Pruning,Improved adaptive response
850,BishopBarnesandSmithBot,Open-Source,E-commerce,Multi-turn Query,761,81.6,1.51,826,1,Model Pruning,Faster architecture
851,CamachoIncBot,Domain-Specific,Education,Simple Query,588,79.3,4.96,301,44,Neural Architecture Search,Improved adaptive response
852,Turner-GreenBot,Rule-Based,Retail,Complex Query,970,92.17,2.73,860,1,Baseline,Improved adaptive response
853,JohnsonFrazierandHillBot,Rule-Based,Finance,Simple Query,980,94.1,3.69,1672,23,Model Pruning,Faster architecture
854,McdanielLLCBot,Open-Source,Retail,Complex Query,388,81.65,4.4,1017,15,Neural Architecture Search,No optimization applied
855,WilsonWardandFryBot,Rule-Based,Healthcare,Complex Query,706,91.68,2.27,1404,17,Neural Architecture Search,Improved adaptive response
856,Greene-CoxBot,Open-Source,Retail,Complex Query,417,77.93,2.29,969,50,Baseline,No optimization applied
857,CollinsThompsonandBrownBot,Domain-Specific,Finance,Multi-turn Query,503,84.58,4.66,563,49,Baseline,No optimization applied
858,JohnstonDaltonandRileyBot,Domain-Specific,E-commerce,Multi-turn Query,471,80.61,0.59,1272,40,Model Pruning,Faster architecture
859,EdwardsGroupBot,Domain-Specific,Education,Simple Query,646,84.84,0.68,1008,18,Baseline,Improved adaptive response
860,Santos-RodgersBot,Custom,Healthcare,Multi-turn Query,615,80.72,3.14,404,12,Neural Architecture Search,Faster architecture
861,NguyenKellyandBanksBot,Rule-Based,Finance,Simple Query,345,86.08,2.12,923,3,Reinforcement Learning,No optimization applied
862,Durham-StanleyBot,Custom,Healthcare,Complex Query,910,91.06,3.34,1805,49,Model Pruning,Faster architecture
863,Carson-BurkeBot,Domain-Specific,Education,Simple Query,427,94.79,4.26,1193,17,Reinforcement Learning,Faster architecture
864,GardnerCarrollandJonesBot,Open-Source,E-commerce,Simple Query,595,85.68,3.03,1757,28,Reinforcement Learning,Faster architecture
865,RowlandMartinandGarciaBot,Rule-Based,E-commerce,Simple Query,247,81.61,1.35,272,3,Neural Architecture Search,Improved adaptive response
866,PerryGroupBot,Open-Source,Healthcare,Multi-turn Query,258,81.47,3.36,820,11,Model Pruning,No optimization applied
867,Crawford-HoodBot,Rule-Based,E-commerce,Complex Query,233,76.18,2.28,1187,4,Baseline,Improved adaptive response
868,ButlerBrownandFernandezBot,Custom,E-commerce,Multi-turn Query,114,85.56,4.48,356,7,Model Pruning,Reduced memory footprint
869,EdwardsGroupBot,Rule-Based,Retail,Multi-turn Query,373,76.45,3.26,1438,34,Model Pruning,Faster architecture
870,MccarthyAlvarezandTurnerBot,Hybrid,E-commerce,Simple Query,780,76.03,1.97,825,17,Reinforcement Learning,Faster architecture
871,TapiaPLCBot,Hybrid,Education,Simple Query,842,91.99,1.47,389,19,Neural Architecture Search,Improved adaptive response
872,BishopBarnesandSmithBot,Rule-Based,Retail,Simple Query,400,80.02,3.42,322,1,Model Pruning,Reduced memory footprint
873,Durham-StanleyBot,Hybrid,Retail,Complex Query,644,78.44,2.26,1700,13,Reinforcement Learning,Improved adaptive response
874,KiddLtdBot,Hybrid,Healthcare,Simple Query,102,85.22,2.72,593,37,Baseline,Reduced memory footprint
875,WallerLtdBot,Open-Source,Finance,Complex Query,219,90.93,0.56,608,44,Neural Architecture Search,Reduced memory footprint
876,Welch-GuerreroBot,Domain-Specific,Education,Simple Query,541,89.77,2.91,542,42,Reinforcement Learning,Improved adaptive response
877,AndersonPLCBot,Custom,Education,Complex Query,942,83.69,2.01,728,18,Baseline,Improved adaptive response
878,FrazierDiazandCruzBot,Hybrid,Finance,Multi-turn Query,744,94.76,1.49,797,46,Neural Architecture Search,Reduced memory footprint
879,Miller-ChapmanBot,Domain-Specific,E-commerce,Complex Query,660,92.16,4.79,1674,27,Neural Architecture Search,Reduced memory footprint
880,KnightMcdowellandMarksBot,Hybrid,Education,Complex Query,288,91.72,1.64,397,34,Reinforcement Learning,No optimization applied
881,Santos-RodgersBot,Open-Source,Retail,Multi-turn Query,804,84.01,0.76,1121,34,Neural Architecture Search,Faster architecture
882,FosterMullenandJohnsonBot,Hybrid,Healthcare,Complex Query,702,78.42,1.12,927,30,Reinforcement Learning,Improved adaptive response
883,RhodesRandolphandRodriguezBot,Custom,Finance,Simple Query,758,83.27,3.68,264,39,Reinforcement Learning,Improved adaptive response
884,Paul-MclaughlinBot,Custom,Healthcare,Complex Query,531,83.43,2.76,741,12,Reinforcement Learning,No optimization applied
885,Carson-BurkeBot,Domain-Specific,E-commerce,Simple Query,169,84.06,3.87,315,10,Reinforcement Learning,Reduced memory footprint
886,Carson-BurkeBot,Rule-Based,E-commerce,Simple Query,261,88.37,1.58,473,35,Baseline,Improved adaptive response
